filepath,label_id,fold,seed,split
/home/aulopez/pneumoniacnn/Images/NORMAL/IM-0363-0001.jpeg,0,5,123,train
/home/aulopez/pneumoniacnn/Images/PNEUMONIA/person507_bacteria_2139.jpeg,1,5,123,train
/home/aulopez/pneumoniacnn/Images/NORMAL/IM-0037-0001.jpeg,0,5,123,train
/home/aulopez/pneumoniacnn/Images/PNEUMONIA/person475_bacteria_2025.jpeg,1,5,123,train
/home/aulopez/pneumoniacnn/Images/PNEUMONIA/person1552_bacteria_4055.jpeg,1,5,123,train
/home/aulopez/pneumoniacnn/Images/PNEUMONIA/person489_bacteria_2067.jpeg,1,5,123,train
/home/aulopez/pneumoniacnn/Images/PNEUMONIA/person397_bacteria_1797.jpeg,1,5,123,train
/home/aulopez/pneumoniacnn/Images/PNEUMONIA/person306_bacteria_1440.jpeg,1,5,123,train
/home/aulopez/pneumoniacnn/Images/PNEUMONIA/person1129_virus_1857.jpeg,1,5,123,train
/home/aulopez/pneumoniacnn/Images/PNEUMONIA/person974_bacteria_2899.jpeg,1,5,123,train
/home/aulopez/pneumoniacnn/Images/PNEUMONIA/person380_virus_763.jpeg,1,5,123,train
/home/aulopez/pneumoniacnn/Images/PNEUMONIA/person501_bacteria_2116.jpeg,1,5,123,train
/home/aulopez/pneumoniacnn/Images/NORMAL/NORMAL2-IM-0520-0001.jpeg,0,5,123,train
/home/aulopez/pneumoniacnn/Images/PNEUMONIA/person981_bacteria_2908.jpeg,1,5,123,train
/home/aulopez/pneumoniacnn/Images/NORMAL/NORMAL2-IM-0424-0001.jpeg,0,5,123,train
/home/aulopez/pneumoniacnn/Images/NORMAL/IM-0503-0001.jpeg,0,5,123,train
/home/aulopez/pneumoniacnn/Images/PNEUMONIA/person124_virus_236.jpeg,1,5,123,train
/home/aulopez/pneumoniacnn/Images/PNEUMONIA/person1069_virus_1772.jpeg,1,5,123,train
/home/aulopez/pneumoniacnn/Images/NORMAL/NORMAL2-IM-0568-0001.jpeg,0,5,123,train
/home/aulopez/pneumoniacnn/Images/NORMAL/IM-0223-0001.jpeg,0,5,123,train
/home/aulopez/pneumoniacnn/Images/PNEUMONIA/person45_bacteria_222.jpeg,1,5,123,train
/home/aulopez/pneumoniacnn/Images/PNEUMONIA/person834_bacteria_2748.jpeg,1,5,123,train
